Word,Sentence,Correct Sense,Definition,
Facilitate,The app facilitates communication.,Make Easier,Help a process,
Facilitate,Teachers facilitate group discussions.,Assist,Guide or support,
Facilitator,The facilitator led the workshop.,Coordinator,Person guiding discussion.,
Facilitator,Technology is a facilitator of learning.,Enabler,Something making a task easier.,
Faction,The party split into two factions.,Group,Subgroup with shared views,
Faction,Rival factions competed for control.,Division,Opposing political group,
Factor,Time is a key factor in success.,Element,Contributing component,
Factor,The number can be factored into primes.,Math Component,Value used in multiplication breakdown,
Factorize,You must factorize the polynomial.,Math Process,Express as product of factors,
Factorize,Scientists factorize data for analysis.,Break Down,Divide into components,
Faculty,The faculty voted today.,Teaching Staff,Academic employees.,
Faculty,She lost the faculty of speech.,Ability,A natural capability.,
Faculty,The university faculty met today.,Staff,Teaching personnel,
Faculty,She has the faculty of speech.,Ability,Natural skill or power,
Fade,The color will fade after washing.,Lose Color,Gradually disappear in intensity,
Fade,His voice began to fade in the distance.,Weaken,Become less strong,
Fail,The machine may fail under pressure.,Break Down,Stop working,
Fail,He will not fail the exam again.,Not Pass,Be unsuccessful,
Fair,The judge made a fair and unbiased decision.,Just / Equitable,Treating people equally without favoritism or discrimination,
Fair,We spent the entire Saturday afternoon at the county fair.,Exhibition / Festival,"A gathering of people for various competitive exhibitions, rides, and entertainment",
Fair,The county fair starts tomorrow.,Exhibition,A public event with displays and entertainment.,
Fair,The teacher was fair to all students.,Just,Treating people equally.,
Fair,She has fair skin.,Light-Colored,Pale in complexion.,
Fair,The judge made a fair decision.,Just,Unbiased and equal,
Fair,The town held a spring fair.,Event,Public festival,
Fall,Leaves fall in autumn.,Drop Downward,To move downward.,
Fall,We visited last fall.,Season,The autumn season.,
Fall,The empire's fall shocked many people.,Collapse,Loss of power or position.,
Fall,The leaves fall in autumn.,Drop,Move downward,
Fall,He suffered a bad fall from the stairs.,Accident,Act of slipping down,
Fallback,We need a fallback plan.,Backup Option,Alternative solution.,
Fallback,The software used fallback settings.,Default Alternative,Secondary configuration.,
Fame,She achieved fame as a singer.,Popularity,Being widely known,
Fame,The actor rose to international fame.,Recognition,Public reputation,
Fan,The fan keeps the room cool.,Appliance,A device that circulates air.,
Fan,She is a fan of the singer.,Admirer,Someone who strongly likes something.,
Fan,The fan cooled the room.,Appliance,A device that moves air to create cooling.,
Fan,She is a fan of the singer.,Supporter,A person who admires someone or something.,
Fan,The fan cooled the room.,Device,Air-moving machine,
Fan,She is a football fan.,Supporter,Enthusiastic admirer,
Fast,The sports car is incredibly fast on the racetrack.,Rapid Speed,Moving or capable of moving at high speed,
Fast,He decided to fast for 24 hours for health reasons.,Abstain From Food,"Abstain from all or some kinds of food or drink, especially as a religious observance",
Fast,He is a fast runner.,Quick,High speed,
Fast,They observe a religious fast.,Abstain,Voluntary food restriction,
Fatigue,The athlete suffered from fatigue.,Tiredness,Extreme exhaustion,
Fatigue,Metal fatigue caused the bridge failure.,Material Weakening,Structural stress damage,
Fatigue,The metal showed signs of fatigue.,Weakening,Structural stress damage,
Fatigue,She felt fatigue after the long trip.,Tiredness,Exhaustion,
Fault,The error was his fault.,Responsibility,Cause of mistake,
Fault,A geological fault runs through the area.,Crack,Break in earth’s crust,
Feasible,The plan is feasible within budget.,Possible,Capable of being done,
Feasible,It is not feasible to finish today.,Practical,Realistic and achievable,
Feasible,The plan is feasible within budget.,Possible,Capable of being done,
Feasible,It is not feasible to finish today.,Practical,Realistic,
Feature,The phone features a large screen.,Include,Have as a characteristic,
Feature,The magazine features a celebrity interview.,Highlight,Present prominently,
Feature,The smartphone has a new feature.,Characteristic,An included function or quality,
Feature,The magazine will feature a local artist.,Highlight,Give prominence to,
Federation,The federation includes many states.,Union,Alliance of entities.,
Federation,The sports federation set rules.,Governing Body,Supervising organization.,
Fence,The wooden fence surrounds the yard.,Barrier,Structure enclosing an area,
Fence,He tried to fence the stolen goods.,Sell Illegally,Dispose of illegally obtained items,
Fertile,The land is fertile for farming.,Productive Soil,Capable of producing crops,
Fertile,She has a fertile imagination.,Creative,Full of ideas,
Fiber,Fiber improves digestion.,Dietary Material,Indigestible plant matter.,
Fiber,Fiber internet is available.,Communication Medium,Thin strands carrying signals.,
Fiber,Dietary fiber is important for health.,Food Component,Indigestible plant material,
Fiber,The fabric is made of synthetic fiber.,Thread Material,Thin strand used in textiles,
Fiction,He writes science fiction stories.,Literary Genre,Imaginative writing,
Fiction,The claim turned out to be fiction.,Falsehood,Something not true,
Fiction,The novel is science fiction.,Literature,Imaginative writing,
Fiction,The report turned out to be fiction.,Falsehood,Something not true,
Fidelity,Audio fidelity is excellent.,Accuracy,Faithfulness to original quality.,
Fidelity,Fidelity between partners matters.,Loyalty,Faithful commitment.,
Field,The cows grazed in the field.,Open Land,An area of grassland.,
Field,Physics is my field.,Area Of Study,A branch of knowledge.,
Field,The team entered the field.,Playing Area,Surface for sports.,
Field,The field is full of crops.,Farmland,Open agricultural land,
Field,She works in the field of medicine.,Area Of Study,Professional domain,
Figure,The figure in the painting looked familiar.,Shape/Person,A form or person.,
Figure,Sales reached six figures.,Number,A numerical value.,
Figure,I can't figure out the answer.,Understand,To solve or comprehend.,
File,Save the file on your computer.,Digital Document,A stored collection of data.,
File,Place the papers in the file.,Folder,A container for documents.,
File,Use a file to smooth the metal.,Tool,A tool for shaping surfaces.,
File,Please save the file on your computer.,Digital Document,Stored data record,
File,The papers are in a file cabinet.,Folder,Storage container for documents,
Filebox,She placed old papers inside the filebox.,Storage Container,A box used for keeping documents.,
Filebox,The office labeled the filebox for organization.,Organizing Tool,An object used to arrange stored materials.,
Filecard,The student wrote information on a filecard.,Information Card,A small card used for recording notes.,
Filecard,The researcher organized references using filecards.,Reference Tool,A card used to arrange information.,
Filter,Replace the water filter.,Screening Device,Removes unwanted material.,
Filter,The app uses a photo filter.,Image Effect,Digital modification.,
Filter,The air filter needs replacement.,Device,Instrument for removing impurities,
Filter,The app can filter unwanted messages.,Process,Remove or sort unwanted items,
Filter,Use a filter to clean the water.,Device,Tool for purification,
Filter,The system filters spam emails.,Process,Remove unwanted items,
Finalize,They will finalize the contract tomorrow.,Complete,Make final,
Finalize,The design was finalized after review.,Settle,Finish decision,
Find,I found my keys.,Discover,To locate something.,
Find,The court may find him guilty.,Determine,To reach a conclusion.,
Fine,The restaurant was fine.,Satisfactory,Acceptable or good enough.,
Fine,He paid a fine for speeding.,Penalty,Money paid as punishment.,
Finish,She crossed the finish line first.,Complete,To bring to an end.,
Finish,The table has a glossy finish.,Surface Coating,The final appearance of a surface.,
Fire,They gathered around the fire.,Burning Flame,Combustion producing heat/light,
Fire,The coach decided to fire the player.,Dismiss,Remove from employment,
Firewall,The firewall blocked traffic.,Security Software,System preventing unauthorized access.,
Firewall,A firewall separated the buildings.,Barrier,Structure preventing fire spread.,
Firm,The ground is firm underfoot.,Solid,Not soft or loose,
Firm,She works for a law firm.,Company,Business organization,
Firm,She gave a firm response.,Strong,Confident and definite,
Firm,The company is a global firm.,Business,Organization,
Firmware,Update the firmware.,Device Software,Software embedded in hardware.,
Firmware,The firmware controls startup.,Control Code,Low-level operational software.,
Fit,These shoes fit perfectly.,Proper Size,To be the right size.,
Fit,She is physically fit.,Healthy,In good physical condition.,
Fix,Please fix the broken chair.,Repair,To restore something.,
Fix,The company is in a fix.,Difficult Situation,A troublesome circumstance.,
Fixture,The lamp fixture is broken.,Installed Object,Permanently attached equipment.,
Fixture,The football fixture is tomorrow.,Scheduled Match,Planned sporting event.,
Flag,Raise the national flag.,Banner,Symbolic piece of cloth.,
Flag,The referee flagged the player.,Mark,To identify for attention.,
Flag,The national flag was raised.,Symbol,Official banner,
Flag,His energy began to flag.,Weaken,Lose strength,
Flame,The flame burned brightly in the fireplace.,Fire,Visible burning gas,
Flame,He went into a flame of anger.,Emotion Burst,Sudden intense reaction,
Flare,The flare illuminated the night.,Signal Light,A bright signaling device.,
Flare,Tempers began to flare.,Intensify Suddenly,To become more intense.,
Flare,The flare lit up the night sky.,Signal Light,Bright burning signal,
Flare,Her temper began to flare.,Intensify,Suddenly increase,
Flash,A flash of lightning lit the sky.,Burst Of Light,A sudden bright light.,
Flash,He flashed his ID card.,Display Briefly,To show quickly.,
Flash,A flash of lightning lit the sky.,Brief Light,Sudden burst of light,
Flash,The news flashed across the screen.,Appear Quickly,Display suddenly,
Flat,They rented a flat downtown.,Apartment,A set of rooms for living.,
Flat,The road became flat.,Level Surface,Without significant elevation.,
Flat,The soda tastes flat.,Lacking Gas,Having lost carbonation.,
Flat,The tire went flat.,Deflated,Lacking air,
Flat,She lives in a small flat.,Apartment,Residential unit,
Flaw,The diamond has a visible flaw.,Defect,Imperfection in material,
Flaw,There is a flaw in your argument.,Weakness,Logical error or problem,
Flaw,The system has a critical flaw.,Defect,Serious weakness,
Flaw,There is a flaw in the diamond.,Imperfection,Physical defect,
Fleet,The navy deployed its fleet.,Group Of Ships,A collection of vessels.,
Fleet,A fleet runner won the race.,Swift,Fast-moving.,
Fleet,The fishing fleet returned at dawn.,Group Of Ships,Collection of vessels,
Fleet,She is a fleet runner.,Quick,Fast-moving,
Float,The boat can float.,Stay On Water,To remain on a liquid surface.,
Float,Ideas floated around the room.,Move Freely,To drift without direction.,
Float,The boat began to float on the water.,Stay On Surface,Remain on liquid,
Float,The company plans to float shares.,Offer Publicly,Issue stock on market,
Float,The balloon will float in the air.,Stay Aloft,Remain suspended,
Float,The company plans to float shares publicly.,Issue Stock,Offer shares on market,
Flotation,The company planned a flotation.,Stock Offering,Initial public sale of shares.,
Flotation,The device aids flotation.,Floating Ability,Capacity to remain afloat.,
Flourish,The artist will flourish in this environment.,Thrive,Grow successfully,
Flourish,The signature had a decorative flourish.,Ornament,Stylish embellishment,
Flow,Water flows downhill.,Movement Of Liquid,Continuous movement of a fluid.,
Flow,The conversation had good flow.,Smooth Progression,Natural continuity.,
Flow,The traffic flow is heavy today.,Movement,Continuous movement,
Flow,Blood flow increases during exercise.,Circulation,Movement of fluid,
Flush,The sink began to flush water rapidly.,Water Flow,Rapid cleaning flow,
Flush,He flushed with embarrassment.,Redden,Turn red in face,
Fly,A fly landed on the table.,Insect,A winged insect.,
Fly,Birds fly south in winter.,Move Through Air,To travel by air.,
Focus,Please focus on the task.,Concentrate,Direct attention,
Focus,The camera is out of focus.,Clarity,Sharpness of image,
Fold,Fold the paper in half.,Bend,To double over.,
Fold,The sheep returned to the fold.,Enclosure,A fenced area for animals.,
Fold,She will fold the clothes neatly.,Bend,Bring parts together,
Fold,The mountain folds are clearly visible.,Geological Structure,Bent layers of rock,
Follow,Please follow the instructions.,Obey,To act according to directions.,
Follow,The dog followed its owner.,Go After,To move behind someone.,
Foot,Just use your foot while you kick a ball.,Anatomical Part,"The lower extremity of the leg below the ankle, on which a person stands or walks.",
Foot,She is five foot two inch.,Unit Of Measurement,A unit of linear measure equal to 12 inches (30.48 cm).,
Foot,The runner injured his foot.,Body Part,The lower part of a person's leg.,
Foot,The village was located at the foot of the mountain.,Base,The bottom part of something.,
Force,The force of the impact was strong.,Physical Power,Strength exerted on an object.,
Force,Police force increased patrols.,Organized Group,A body of personnel.,
Force,They forced the door open.,Compel,To make someone do something.,
Force,The wind can force doors open.,Physical Power,Strength or pressure,
Force,Police force is present at the event.,Group,Organized body,
Forecast,The weather forecast predicts rain.,Prediction,Statement about the future.,
Forecast,Economists forecast growth.,Estimate Future,Predict upcoming events.,
Forge,Blacksmiths work at a forge.,Workshop,A place for shaping metal.,
Forge,He forged a signature.,Counterfeit,To create a fake copy.,
Forge,They forge metal tools in the workshop.,Shape By Heating,Form by hammering,
Forge,He tried to forge a signature.,Falsify,Fake something,
Forge,They forge weapons in the workshop.,Create By Heating,Shape metal,
Forge,He tried to forge a document.,Falsify,Fake illegally,
Fork,Use a fork to eat.,Utensil,A tool for eating food.,
Fork,The road reaches a fork.,Road Split,A point where paths divide.,
Fork,Developers created a fork of the project.,Software Branch,A copied version of software.,
Formal,He wore formal attire to the event.,Official Style,Appropriate for ceremony,
Formal,She used formal language in the letter.,Structured,Proper and official,
Formalize,They formalize the agreement.,Make Official,Put into formal structure,
Formalize,The rules were formalized last year.,Standardize,Establish officially,
Format,Change the file format to PDF.,Structure,Arrangement style,
Format,The show follows a new format.,Layout,System of organization,
Formulation,The scientist proposed a formulation.,Expression,Specific way of stating something.,
Formulation,The medicine's formulation changed.,Composition,Particular mixture of ingredients.,
Foster,They foster innovation in schools.,Encourage,Promote development,
Foster,The child was placed in foster care.,Temporary Care,Substitute guardianship,
Foul,The smell was foul.,Unpleasant,Offensive to the senses.,
Foul,The player committed a foul.,Rule Violation,An infraction in sports.,
Foundation,The building's foundation is strong.,Structural Base,The supporting base.,
Foundation,She started a foundation.,Organization,A charitable institution.,
Fraction,Only a fraction of students passed.,Small Part,Portion of a whole,
Fraction,The number can be written as a fraction.,Math Form,Ratio of integers,
Fragment,A fragment of glass was found on the floor.,Piece,Small broken part,
Fragment,The manuscript contains a fragment of ancient text.,Excerpt,Small section of writing,
Fragment,A fragment of pottery was found at the site.,Piece,Broken part of an object,
Fragment,The speech included a fragment of poetry.,Excerpt,Small section of text,
Frame,The picture frame is wooden.,Border,A structure surrounding something.,
Frame,The police framed the suspect.,Falsely Accuse,To make someone appear guilty.,
Frame,The picture is in a wooden frame.,Border,Structure surrounding something,
Frame,They tried to frame him for the crime.,Falsely Accuse,Set someone up,
Framework,The building's framework is steel.,Structure,Supporting skeleton.,
Framework,Python has many frameworks.,Software Platform,Reusable development structure.,
Framework,The project follows a legal framework.,Structure,System of rules,
Framework,The steel framework supports the building.,Skeleton,Supporting structure,
Freeze,The lake begins to freeze in winter.,Solidify,Turn into ice,
Freeze,She froze when she heard the noise.,Stop Moving,Become motionless,
Freeze,The software may freeze during updates.,Stop Responding,Become unresponsive,
Freeze,Water will freeze below zero degrees.,Solidify,Turn into ice,
Frequency,The frequency of updates increased.,Occurrence Rate,How often something happens,
Frequency,Radio frequency affects signal quality.,Wave Rate,Electromagnetic measurement,
Fresh,The bread is fresh.,Recently Made,Newly produced.,
Fresh,She brought fresh ideas.,Original,New and innovative.,
Fret,He fretted about the exam.,Worry,To be anxious.,
Fret,The guitarist pressed the fret.,Guitar Ridge,A raised strip on a fingerboard.,
Friction,Friction slows down movement.,Resistance,Force opposing motion,
Friction,There was friction between the teammates.,Conflict,Disagreement,
Friction,Friction between teams slowed progress.,Conflict,Disagreement,
Friction,Friction helps brakes stop a car.,Resistance,Force opposing motion,
Front,The front of the house faces east.,Forward Part,The side facing outward.,
Front,A cold front is approaching.,Weather Boundary,Meeting point of air masses.,
Front,He stood at the front of the line.,Forward Position,Foremost part,
Front,A cold front is approaching.,Weather System,Boundary of air masses,
Full,The glass is full.,Filled,Containing as much as possible.,
Full,She works full time.,Complete,Entire or whole.,
Function,The heart’s function is to pump blood.,Role,Purpose of something,
Function,The school hosted a formal function.,Event,Social gathering,
Function,The liver performs an important function.,Role,Purpose,
Function,They attended a charity function.,Event,Formal gathering,
Fund,The project needs more funding.,Money,Financial resource,
Fund,They will fund the new initiative.,Finance,Provide money,
Fund,The government will fund the project.,Finance,Provide money,
Fund,She invested in a mutual fund.,Investment Pool,Managed financial assets,
Funnel,Water flows through the funnel.,Tool,Cone-shaped pouring device,
Funnel,The company funnels profits into research.,Direct,Channel into something,
Funnel,Smoke funnels out of the chimney.,Channel,Narrow passage,
Funnel,Data is funneled into the system.,Direct,Guide into a process,
Further,We need further investigation.,Additional,More in degree or extent,
Further,The road extends further into the valley.,Farther,More distant,
Further,We need further clarification.,Additional,More,
Further,The village lies further north.,More Distant,At a greater distance,
Fuse,The fuse blew during the power surge.,Safety Device,Electrical protection,
Fuse,The metals fuse under heat.,Combine,Melt and join,
Fuse,The fuse protects the electrical circuit.,Safety Device,Overload protector,
Fuse,The metals fuse under heat.,Combine,Melt together,
Gain,The company gained new customers.,Acquire,To obtain something.,
Gain,There was a gain in profits.,Increase,Growth in amount or value.,
Gain,She hopes to gain experience from the internship.,Obtain,Acquire or get something,
Gain,The signal will gain strength over distance.,Increase,Become stronger,
Gamble,He likes to gamble at the casino.,Bet,Risk money on chance,
Gamble,Starting a new business is a gamble.,Risk,Uncertain action,
Game,We played a board game.,Activity,A structured form of play.,
Game,Deer are common game animals.,Hunted Animals,Animals hunted for sport or food.,
Gap,There is a gap in the fence.,Opening,Space between two things,
Gap,The generation gap affects communication.,Difference,Difference in understanding,
Gate,Open the gate.,Barrier,A movable entrance.,
Gate,Passengers waited at Gate 12.,Terminal Area,A boarding location.,
Gateway,The gateway leads into town.,Entrance,Access point.,
Gateway,The router acts as a gateway.,Network Connector,Device linking networks.,
Gatewayed,Traffic was gatewayed through servers.,Routed,Directed through a gateway.,
Gatewayed,Data was gatewayed externally.,Transferred,Passed through an access point.,
Gather,They gather around the fire.,Assemble,Come together,
Gather,She gathers information from reports.,Collect,Obtain and compile,
Gauge,Check the fuel gauge.,Measuring Instrument,A device for measurement.,
Gauge,It's hard to gauge her reaction.,Estimate,To judge approximately.,
Gauge,The fuel gauge is broken.,Measuring Device,Instrument for measurement,
Gauge,It is hard to gauge his reaction.,Estimate,Judge or assess,
Gaze,He gave her a long gaze.,Stare,Steady look,
Gaze,She gazed at the stars.,Look,Fixed attention,
Gear,The bicycle gear is stuck.,Mechanism,Toothed wheel system,
Gear,They packed camping gear.,Equipment,Tools and supplies,
Generate,The generator can generate electricity.,Produce,Create energy,
Generate,The idea may generate interest.,Produce,Cause to exist,
Genius,She is a mathematical genius.,Intelligent Person,Highly gifted individual,
Genius,The invention showed genius.,Brilliance,Exceptional creativity,
Gesture,He made a friendly gesture.,Movement,Hand/body movement,
Gesture,The donation was a gesture of goodwill.,Symbolic Act,Sign of intention,
Gesture,A small gesture can mean a lot.,Action,Symbolic movement,
Gesture,He gestured toward the door.,Motion,Hand movement,
Gift,She received a birthday gift.,Present,Something given,
Gift,He has a gift for music.,Talent,Natural ability,
Glare,The sun’s glare was blinding.,Bright Light,Intense brightness,
Glare,He gave her an angry glare.,Stare,Hostile look,
Glass,The glass broke.,Drinking Container,A vessel for liquids.,
Glass,The window is made of glass.,Material,A hard transparent substance.,
Glasses,She needs to wear reading glasses to see small text.,Eyewear,A pair of lenses set in a frame worn to correct or assist defective eyesight,
Glasses,He filled the crystal glasses with cold sparkling water.,Drinking Vessels,Containers made of glass used for drinking liquids,
Glide,The bird can glide through the air.,Move Smoothly,Fly without effort,
Glide,The dancer glided across the stage.,Move Gracefully,Smooth motion,
Glow,The lamp gave a warm glow.,Light,Soft brightness,
Glow,She glowed with happiness.,Radiate,Show strong emotion,
Glue,Use glue to fix the broken cup.,Adhesive,Sticky substance,
Glue,The team is glued together.,Bond,Strong connection,
Goal,His goal is to become a doctor.,Objective,Aim or target,
Goal,The team scored a goal.,Sports Point,Scoring unit,
Gold,The ring is made of gold.,Metal,A valuable yellow metal.,
Gold,She won gold in the Olympics.,Medal,First-place award.,
Govern,The king governs the country.,Rule,Control or direct,
Govern,Laws govern behavior.,Regulate,Set rules,
Grab,He grabbed the bag quickly.,Seize,Take hold suddenly,
Grab,Let’s grab lunch together.,Get,Obtain casually,
Grade,She received a high grade.,Academic Score,Evaluation of performance.,
Grade,The road has a steep grade.,Slope,Inclination of a surface.,
Grade,She received a high grade.,Score,Evaluation result,
Grade,The road has a steep grade.,Slope,Level of incline,
Graft,The surgeon performed a skin graft.,Transplant Tissue,Surgical attachment of tissue,
Graft,He was accused of political graft.,Corruption,Illegal gain of power/money,
Grain,Rice is a grain.,Seed,Small hard edible seed.,
Grain,The wood has visible grain.,Texture Pattern,Natural arrangement of fibers.,
Grain,Each grain of rice is carefully selected.,Seed,Small particle of cereal,
Grain,The wood has a fine grain.,Texture,Pattern of fibers,
Grainy,The photo looks grainy.,Rough Texture,Lacking smooth detail,
Grainy,The soup has a grainy texture.,Coarse,Having small particles,
Grant,The university received a research grant.,Funding,Financial award,
Grant,They will grant permission to proceed.,Allow,Give approval,
Grant,They grant access to the system.,Allow,Give permission,
Grant,She applied for a research grant.,Funding,Financial support,
Grapple,He tried to grapple with the problem.,Struggle,Deal with difficulty,
Grapple,The wrestlers grapple on the mat.,Wrestle,Physically struggle,
Grasp,He has a strong grasp of the concept.,Understanding,Comprehension,
Grasp,She tried to grasp the rope tightly.,Hold,Seize firmly,
Grasp,She couldn’t grasp the idea quickly.,Understand,Comprehend,
Grasp,He grasped the handle tightly.,Hold,Seize firmly,
Grate,Cheese was grated finely.,Shred,Break into small pieces,
Grate,The metal grate blocked the drain.,Barrier,Grid-like covering,
Grave,The flowers were placed on the grave.,Burial Site,A place where a body is buried.,
Grave,The situation is grave.,Serious,Requiring urgent attention.,
Gravitate,People gravitate toward strong leaders.,Move Toward,Be drawn to,
Gravitate,Objects gravitate toward Earth.,Attract,Move due to gravity,
Gravity,Gravity keeps objects on the ground.,Force,Attraction toward earth,
Gravity,The situation has great gravity.,Seriousness,Importance,
Gray,The sky turned gray.,Color,A color between black and white.,
Gray,The issue is a gray area.,Unclear,Not clearly defined.,
Green,The leaves are green.,Color,Color associated with vegetation.,
Green,She is green at the job.,Inexperienced,Lacking experience.,
Green,The leaves are green.,Color,Hue of plants,
Green,He is still green in experience.,Inexperienced,Not skilled yet,
Greet,They greet guests at the door.,Welcome,Say hello,
Greet,The news was greeted with excitement.,Receive,Respond to,
Grid,The city follows a grid layout.,Pattern,Network of intersecting lines.,
Grid,The power grid failed.,Electrical Network,System distributing electricity.,
Grid,The city is planned on a grid.,Network,Pattern of intersecting lines,
Grid,The electrical grid failed.,System,Power distribution network,
Grim,The situation looks grim.,Bleak,Unpleasant or hopeless,
Grim,He had a grim expression.,Serious,Stern face,
Groove,The record plays in a groove.,Track,Channel in a surface,
Groove,He is in the groove while dancing.,Rhythm,Comfortable flow,
Groove,The song has a smooth groove.,Rhythm,Musical flow,
Groove,The wheel fits into the groove.,Channel,Carved indentation,
Ground,The ball fell to the ground.,Earth Surface,The solid surface of earth.,
Ground,Coffee is made from ground beans.,Crushed Material,Reduced to small particles.,
Ground,The pilot grounded the aircraft.,Prevent Operation,To stop from functioning.,
Ground,The children played on the ground.,Surface,Earth surface,
Ground,The plane was grounded due to weather.,Stop Operation,Prevented from flying,
Group,A group of students entered the room.,Collection,Set of people,
Group,The data was grouped by category.,Classify,Organize into sets,
Guarantee,The store gives a money-back guarantee.,Assurance,Promise of quality,
Guarantee,Nothing can guarantee success.,Ensure,Make certain,
Guard,A guard watched the gate.,Protector,A person who protects.,
Guard,Guard your belongings.,Protect,To keep safe.,
Guard,The security guard is on duty.,Protector,Person who watches,
Guard,She let down her guard.,Defense,Protective caution,
Guard,The guard watched the entrance.,Security Person,Protector,
Guard,She kept her guard up.,Defense,Protective caution,
Guess,I can only guess the answer.,Estimate,Make an uncertain judgment,
Guess,His guess was correct.,Prediction,Attempt to answer,
Guide,The guide led the tourists.,Leader,Person who shows direction,
Guide,Use this manual as a guide.,Instruction,Reference document,
Guide,The guide explained the museum exhibits.,Leader,Person who leads,
Guide,Use the guide to assemble the parts.,Manual,Instructional document,
Guideline,Follow the safety guideline strictly.,Rule,Instruction,
Guideline,The report provides clear guidelines.,Direction,Recommended practice,
Guilt,He felt guilt after the mistake.,Remorse,Feeling of wrongdoing,
Guilt,The evidence proved his guilt.,Responsibility,State of being guilty,
Gulf,There is a gulf between the two opinions.,Difference,Deep divide,
Gulf,They sailed across the gulf.,Sea Inlet,Large coastal water body,
Gum,She chewed gum after lunch.,Chewing Substance,A soft material chewed for flavor.,
Gum,My gums hurt after brushing.,Mouth Tissue,Flesh surrounding the teeth.,
Gum,Tree gum oozed from the bark.,Sticky Substance,A natural plant secretion.,
Gust,A strong gust of wind blew the roof.,Wind Burst,Sudden rush of air,
Gust,The storm produced gusts all night.,Wind Wave,Short strong wind,
Gym,She goes to the gym daily.,Fitness Center,Exercise facility,
Gym,The school gym hosts events.,Hall,Large indoor room,
Habitat,The forest is the natural habitat of wolves.,Environment,Natural living area,
Habitat,Urban areas have changed the bird’s habitat.,Dwelling Space,Place where organisms live,
Hack,The programmer found a useful hack.,Clever Solution,An efficient trick or shortcut.,
Hack,Criminals hacked the system.,Gain Unauthorized Access,To break into a computer system.,
Hack,He tried to hack into the system.,Unauthorized Access,Break into a computer system,
Hack,She gave a life hack for cooking rice.,Tip,Simple useful trick,
Hail,The car was damaged by hail.,Ice Pellets,Frozen rain,
Hail,They hail from a small town.,Originate,Come from,
Hail,Hail damaged the crops.,Ice Pellets,Frozen precipitation,
Hail,They hail the leader as a hero.,Praise,Acclaim publicly,
Halt,The train came to a halt.,Stop,Complete stop,
Halt,Production may halt during shortages.,Pause,Temporary stop,
Hammer,He used a hammer to fix the nail.,Tool,Striking instrument,
Hammer,The team hammered their opponents.,Defeat Strongly,Beat decisively,
Hamper,Put the laundry in the hamper.,Laundry Basket,A container for dirty clothes.,
Hamper,Bad weather hampered travel.,Hinder,To obstruct progress.,
Hamper,Rain may hamper construction work.,Obstruct,Make difficult,
Hamper,She placed clothes in the hamper.,Basket,Container for laundry,
Hand,Raise your hand.,Body Part,The end part of the arm.,
Hand,Please hand me the book.,Give,To pass something to someone.,
Handle,Hold the handle firmly.,Grip,Part used for holding.,
Handle,She can handle the pressure.,Manage,To deal with effectively.,
Handle,His online handle is unique.,Username,A name used online.,
Handle,The door handle is broken.,Grip,Part used to hold,
Handle,She can handle pressure well.,Manage,Deal with,
Hang,The picture hangs on the wall.,Suspend,To be attached above the ground.,
Hang,We like to hang out together.,Spend Time,To socialize casually.,
Hang,The picture will hang on the wall.,Suspend,Be attached from above,
Hang,Let’s hang out later.,Spend Time,Socialize,
Harbor,Ships entered the harbor.,Port,A sheltered docking area.,
Harbor,He harbored resentment.,Keep Feeling,To maintain thoughts or emotions.,
Harbor,The ships entered the harbor.,Port,Sheltered water area,
Harbor,He harbors resentment.,Keep Inside,Hold feelings,
Harbor,The ship entered the harbor.,Port,Sheltered water area,
Harbor,He harbors doubts about the plan.,Keep Inside,Hold feelings,
Harbormaster,The harbormaster inspected vessels.,Port Official,Manager of a harbor.,
Harbormaster,The harbormaster approved docking.,Authority Figure,Supervisor of harbor operations.,
Hard,The rock is hard.,Solid,Difficult to break or bend.,
Hard,She works hard every day.,Diligently,With great effort.,
Hard,The exam was hard.,Difficult,Requiring much skill or effort.,
Harsh,The desert has a harsh climate.,Severe,Very rough conditions,
Harsh,Her voice sounded harsh.,Unpleasant,Rough or grating,
Harvest,Farmers harvest rice in season.,Collect Crops,Gather mature crops,
Harvest,The data harvest revealed trends.,Collection,Gathering information,
Hash,The recipe includes vegetable hash.,Food Mixture,Chopped mix,
Hash,The system uses a hash function.,Computing Code,Data mapping method,
Haste,He finished the task in haste.,Speed,Quick action,
Haste,There is no need for haste.,Urgency,Rushing,
Hatch,The eggs began to hatch.,Emerge From Egg,To come out of an egg.,
Hatch,Open the roof hatch.,Opening,A door-like opening.,
Hatch,They hatched a clever plan.,Devise,To create or develop secretly.,
Hatch,The eggs will hatch soon.,Emerge,Break open from egg,
Hatch,The ship has an escape hatch.,Opening,Exit door,
Hatch,The chicks hatch in spring.,Emerge,Break from egg,
Hatch,The submarine used an escape hatch.,Door,Small exit opening,
Haul,The truck carried a heavy haul.,Load,Amount transported,
Haul,Police made a drug haul.,Seizure,Captured goods,
Haunt,The old house is said to be haunted.,Appear Repeatedly,Ghostly presence,
Haunt,Memories haunt him.,Trouble,Persist in mind,
Hazard,The road sign warns of hazard.,Danger,Risk or threat,
Hazard,Smoking is a health hazard.,Risk Factor,Harmful condition,
Head,He wore a protective helmet to shield his head.,Body Part,"The upper part of the human body containing the brain, eyes, ears, nose, and mouth",
Head,She was appointed as the head of the marketing department.,Leader / Director,The person in charge of an organization or group; the leader,
Headline,The headline was shocking.,Title,Newspaper heading,
